WHO Region,ISO3,WHO Country Name,City or Locality,Measurement Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),PM25 temporal coverage (%),PM10 temporal coverage (%),NO2 temporal coverage (%),Reference,Number and type of monitoring stations,Version of the database,Status
European Region,DEU,Germany,Lunen,2010,,24.73,28.28,,94.281,87.991,European Environment Agency (downloaded in 2021),2 suburban,2022,
European Region,DEU,Germany,Lunen,2013,,25.56,26.97,,,95.79908676,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Lunen,2014,,21.41,27.44,,,96.44977169,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Lunen,2015,,16.54,24.37,,,96.13013699,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Lunen,2016,,14.06,24.86,,,95.48041894,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Lunen,2017,,13.8,23.29,,,95.2283105,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Lunen,2018,,22.59,21.68,,,95.57077626,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Lunen,2019,,19.2,19.86,,,95.33105023,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Lutherstadt Wittenberg,2010,,28.21,24.73,,98.653,99.652,European Environment Agency (downloaded in 2021),5 urban,2022,
European Region,DEU,Germany,Lutherstadt Wittenberg,2013,,23.02,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Lutherstadt Wittenberg,2014,,23.95,21.49,,,99.497716895,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Lutherstadt Wittenberg,2015,,20.81,22.03,,,99.497716895,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Lutherstadt Wittenberg,2016,,20.0,21.97,,,98.89571949,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Lutherstadt Wittenberg,2017,,19.07,20.13,,,99.349315065,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Lutherstadt Wittenberg,2018,,20.89,18.61,,,98.339041095,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Lutherstadt Wittenberg,2019,,17.74,17.27,,,97.83675799,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Magdeburg,2010,21.4,29.89,37.78,99.606,97.523,99.00675,European Environment Agency (downloaded in 2021),11 urban,2022,
European Region,DEU,Germany,Magdeburg,2013,15.44,23.94,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Magdeburg,2014,17.2,26.22,33.02,,,98.7300228325,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Magdeburg,2015,12.93,20.64,25.8,,,98.77283105,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Magdeburg,2016,13.73,20.21,27.13,,,99.01335762,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Magdeburg,2017,13.62,20.24,26.47,,,99.27321157,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Magdeburg,2018,13.79,22.31,24.66,,,99.4101978666666,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Magdeburg,2019,10.64,18.94,22.84,,,99.2427701666666,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mainz,2010,16.59,20.8,42.03,99.281,99.669,94.5526,European Environment Agency (downloaded in 2021),11 urban,2022,
European Region,DEU,Germany,Mainz,2013,14.53,,40.85,,,94.776255708,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mainz,2014,13.28,20.13,41.03,,,95.221461186,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mainz,2015,13.52,21.02,40.63,,,95.0456621,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mainz,2016,12.42,19.53,38.93,,,96.559653916,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mainz,2017,12.58,20.1,38.08,,,97.463470322,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mainz,2018,12.48,20.74,35.83,,,99.35216895,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mainz,2019,11.36,18.58,33.44,,,96.592465755,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mannheim,2010,18.02,23.96,35.46,98.356,99.2971428571428,95.448,European Environment Agency (downloaded in 2021),"4 suburban, 9 urban",2022,
European Region,DEU,Germany,Mannheim,2013,15.32,21.27,30.68,,,95.26255708,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mannheim,2014,14.36,20.55,37.65,,,96.36415525,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mannheim,2015,13.96,21.19,37.62,,,97.220319635,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mannheim,2016,12.63,19.34,36.09,,,97.962204005,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mannheim,2017,12.98,19.24,35.38,,,97.23173516,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mannheim,2018,12.6,19.47,35.53,,,97.74543379,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mannheim,2019,11.56,17.39,34.25,,,98.3028919333333,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Marbach Am Neckar,2016,,,55.0,,,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Marbach Am Neckar,2018,,,38.96,,,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Marbach Am Neckar,2019,,,36.2,,,96.16438356,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Marburg,2010,19.66,21.8,34.48,98.322,97.643,99.8005,European Environment Agency (downloaded in 2021),5 urban,2022,
European Region,DEU,Germany,Marburg,2013,15.92,21.07,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Marburg,2014,15.41,20.57,33.78,,,99.429223745,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Marburg,2015,15.0,20.03,35.81,,,99.46917808,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Marburg,2016,13.74,17.74,35.35,,,99.829234975,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Marburg,2017,13.32,18.43,28.78,,,99.098173515,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Marburg,2018,13.61,18.9,26.9,,,99.828767125,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Marburg,2019,10.19,15.65,28.56,,,99.73363775,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Markgroningen,2010,,34.68,52.41,,99.726,95.731,European Environment Agency (downloaded in 2021),2 suburban,2022,
European Region,DEU,Germany,Markgroningen,2013,,31.66,45.74,,100.0,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Markgroningen,2014,,29.9,43.68,,100.0,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Markgroningen,2015,,28.71,44.46,,100.0,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Markgroningen,2016,,26.15,41.6,,99.45355191,99.45355191,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Markgroningen,2017,,27.23,38.67,,96.16438356,96.16438356,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Markgroningen,2018,,25.44,35.44,,100.0,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Markgroningen,2019,,23.9,32.78,,100.0,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Maximiliansau,2019,,,22.33,,,99.7260274,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Meerbusch,2013,,,37.31,,,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Meerbusch,2014,,,37.26,,,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Meerbusch,2015,,,32.39,,,94.24657534,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mehring,2010,,22.16,20.19,,99.384,98.79,European Environment Agency (downloaded in 2021),2 rural,2022,
European Region,DEU,Germany,Mehring,2014,,,14.35,,,99.17808219,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mehring,2015,,,14.17,,,99.7716895,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mehring,2016,,,14.04,,,97.68897996,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mehring,2017,11.95,,14.53,,,99.12100457,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mehring,2018,13.36,,13.51,,,97.73972603,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mehring,2019,10.41,,13.18,,,99.62328767,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Meiningen,2013,,16.67,9.42,,,99.07534247,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Meiningen,2014,,14.76,10.58,,,99.7260274,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Meiningen,2015,,12.94,10.98,,,99.65753425,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Meiningen,2016,,10.65,9.05,,,99.02094718,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Meiningen,2017,,10.88,9.0,,,98.60730594,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Meiningen,2018,,12.41,7.77,,,98.47031963,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Meiningen,2019,,10.96,7.06,,,99.57762557,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Merzalben,2013,8.19,,6.94,,,94.6803653,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Merzalben,2014,8.17,10.99,5.74,,,93.42465753,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Merzalben,2015,7.54,11.31,6.8,,,89.04109589,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Merzalben,2016,6.03,9.33,4.99,,,95.6284153,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Merzalben,2017,6.28,9.44,5.0,,,97.24885845,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Merzalben,2018,6.97,10.13,5.25,,,96.64383562,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Merzalben,2019,4.95,8.07,4.84,,,97.6826484,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Metternich,2019,,,30.01,,,99.60045662,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mettmann,2013,,,46.82,,,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mettmann,2014,,,43.79,,,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mettmann,2015,,,42.08,,,82.46575342,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mettmann,2016,,,41.64,,,97.54098361,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mettmann,2017,,,37.49,,,81.91780822,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mettmann,2018,,,31.47,,,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mewegen,2010,,19.72,7.96,,99.863,98.836,European Environment Agency (downloaded in 2021),2 rural,2022,
European Region,DEU,Germany,Michaelstadt,2010,,16.87,20.1,,97.58,99.863,European Environment Agency (downloaded in 2021),2 urban,2022,
European Region,DEU,Germany,Michelstadt,2013,,17.59,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Michelstadt,2014,,15.89,16.68,,,99.79452055,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Michelstadt,2015,,16.77,17.46,,,99.7716895,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Michelstadt,2016,,15.48,16.4,,,99.53324226,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Michelstadt,2017,,16.03,16.21,,,99.48630137,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Michelstadt,2018,,17.01,17.08,,,97.8196347,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Michelstadt,2019,,14.72,15.72,,,99.05251142,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mitte,2013,,,40.75,,,98.90410959,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mitte,2014,,,39.96,,,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mitte,2015,,,39.16,,,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mitte,2018,,,45.65,,,99.9575994785714,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mitte,2019,,,38.11,,,98.275304415,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mogglingen,2013,,23.45,48.13,,100.0,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mogglingen,2014,,,44.73,,,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mogglingen,2015,,,42.94,,,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mogglingen,2016,,,40.39,,,99.45355191,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mogglingen,2017,,,36.42,,,99.7260274,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Monchengladbach,2010,17.89,24.84,27.02,76.107,96.37,93.984,European Environment Agency (downloaded in 2021),3 urban,2022,
European Region,DEU,Germany,Monchengladbach,2013,17.03,,31.37,,,95.19977169,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Monchengladbach,2014,15.17,20.41,29.35,,,95.319634705,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Monchengladbach,2015,13.73,20.17,27.06,,,95.50799087,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Monchengladbach,2016,13.2,19.48,27.55,,,96.22040073,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Monchengladbach,2017,13.72,19.21,26.47,,,96.09589041,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Monchengladbach,2018,12.18,20.11,26.8,,,96.0216895,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Monchengladbach,2019,10.67,18.89,24.23,,,94.988584475,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mönchengladbach,2010,,24.31,,,95.502,,European Environment Agency (downloaded in 2021),1 suburban,2022,
European Region,DEU,Germany,Mönchengladbach,2013,,,47.76,,,93.15068493,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mönchengladbach,2014,,,43.66,,,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mönchengladbach,2015,,,42.0,,,81.09589041,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mönchengladbach,2016,,,44.04,,,99.45355191,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mönchengladbach,2017,,,40.77,,,92.60273973,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mönchengladbach,2018,,,40.1,,,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mönchengladbach,2019,,,35.55,,,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Montabaur,2013,9.42,,11.23,,,94.47488584,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Montabaur,2014,8.62,,9.67,,,93.52739726,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Montabaur,2015,8.51,,9.59,,,94.50913242,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Montabaur,2016,7.74,,8.18,,,96.60746812,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Montabaur,2017,7.85,,8.18,,,98.57305936,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Montabaur,2018,9.19,,7.89,,,99.02968037,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Montabaur,2019,7.39,,7.14,,,99.04109589,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Muhlacker,2010,,29.12,,,100.0,,European Environment Agency (downloaded in 2021),1 suburban,2022,
European Region,DEU,Germany,Muhlacker,2013,,27.24,56.04,,100.0,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Muhlacker,2014,,,53.24,,,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Muhlacker,2015,,,54.29,,,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Muhlacker,2016,,,49.06,,,99.45355191,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Muhlacker,2017,,,47.39,,,92.05479452,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Muhlacker,2018,,,32.73,,,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Muhlacker,2019,,,39.38,,,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Muhlhausen/Thuringen,2010,,28.14,29.91,,97.6446666666666,96.41,European Environment Agency (downloaded in 2021),5 urban,2022,
European Region,DEU,Germany,Muhlhausen/Thuringen,2013,,25.29,34.49,,,99.494863015,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Muhlhausen/Thuringen,2014,,23.94,32.62,,,98.7442922375,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Muhlhausen/Thuringen,2015,,20.81,33.72,,,99.3921232875,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Muhlhausen/Thuringen,2016,,18.96,26.51,,,99.4042197933333,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Muhlhausen/Thuringen,2017,,18.36,26.13,,,97.00152207,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Muhlhausen/Thuringen,2018,,20.22,26.58,,,98.4322678866666,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Muhlhausen/Thuringen,2019,10.79,17.26,23.38,,,96.16818874,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mulheim,2010,,24.26,33.2,,98.099,94.144,European Environment Agency (downloaded in 2021),3 urban,2022,
European Region,DEU,Germany,Mulheim An Der Ruhr,2010,,30.85,49.62,,95.708,93.881,European Environment Agency (downloaded in 2021),2 urban,2022,
European Region,DEU,Germany,Mulheim An Der Ruhr,2013,,22.71,40.14,,,98.65677321,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mulheim An Der Ruhr,2014,,20.41,38.61,,,97.7739726033333,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mulheim An Der Ruhr,2015,,20.27,35.48,,,86.09589041,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mulheim An Der Ruhr,2016,,19.21,36.54,,,98.61111111,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mulheim An Der Ruhr,2017,12.66,19.5,34.25,,,86.88736682,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mulheim An Der Ruhr,2018,,20.18,32.74,,,98.6073059366666,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Mulheim An Der Ruhr,2019,,17.08,29.26,,,98.64916286,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Munchen,2010,18.5,28.85,56.99,92.643,99.388,98.8583333333333,European Environment Agency (downloaded in 2021),"2 suburban, 11 urban",2022,
European Region,DEU,Germany,Munchen,2013,15.81,,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Munchen,2014,13.58,20.82,44.8,,,98.2283105,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Munchen,2015,13.45,21.29,45.74,,,98.828767122,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Munchen,2016,12.31,19.77,43.26,,,99.009562844,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Munchen,2017,13.92,21.84,41.85,,,99.874429222,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Munchen,2018,13.51,20.07,37.0,,,99.840182648,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Munchen,2019,10.72,17.95,34.34,,,99.833333332,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Munster,2010,,25.83,35.18,,96.5355,94.4635,European Environment Agency (downloaded in 2021),4 urban,2022,
European Region,DEU,Germany,Munster,2013,,,39.26,,,98.4075342475,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Munster,2014,,21.96,36.08,,,96.7009132425,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Munster,2015,,19.97,35.6,,,88.6605783833333,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Munster,2016,,19.06,34.57,,,93.56215847,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Munster,2017,,19.34,32.83,,,86.4240867625,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Munster,2018,,22.28,29.78,,,96.7836757975,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Munster,2019,,18.27,27.66,,,98.7100456633333,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Munstertal/Schwarzwald,2010,,10.28,5.39,,96.832,95.285,European Environment Agency (downloaded in 2021),3 rural,2022,
European Region,DEU,Germany,Munstertal/Schwarzwald,2013,6.38,8.85,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Munstertal/Schwarzwald,2014,5.76,8.95,4.19,,,97.99086758,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Munstertal/Schwarzwald,2015,6.11,9.34,4.23,,,97.78538813,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Munstertal/Schwarzwald,2016,5.19,7.96,3.72,,,97.09699454,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Munstertal/Schwarzwald,2017,4.87,7.8,3.44,,,97.2260274,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Munstertal/Schwarzwald,2018,5.84,8.9,4.62,,,97.5913242,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Munstertal/Schwarzwald,2019,4.59,7.41,3.81,,,97.56849315,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Murg,2013,,22.57,32.32,,95.34246575,95.34246575,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Naila,2010,,19.18,17.69,,99.932,99.121,European Environment Agency (downloaded in 2021),2 rural,2022,
European Region,DEU,Germany,Nauen,2010,20.64,26.7,13.06,99.612,99.509,97.5,European Environment Agency (downloaded in 2021),3 suburban,2022,
European Region,DEU,Germany,Nauen,2014,15.47,19.87,13.83,,,99.9086758,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Nauen,2015,12.89,18.03,12.4,,,99.92009132,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Nauen,2016,,17.84,12.98,,,99.98861566,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Nauen,2017,14.21,17.16,10.61,,,99.9086758,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Nauen,2018,14.0,21.19,11.99,,,99.8173516,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Nauen,2019,11.08,17.36,11.52,,,99.8630137,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Netphen,2010,,13.68,5.25,,97.329,93.196,European Environment Agency (downloaded in 2021),2 rural,2022,
European Region,DEU,Germany,Netphen,2013,,,4.63,,,94.8630137,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Netphen,2014,,12.38,4.81,,,95.33105023,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Netphen,2015,,12.01,6.73,,,96.23287671,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Netphen,2016,,10.18,5.64,,,95.98132969,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Netphen,2017,,10.58,5.58,,,95.61643836,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Netphen,2018,,11.89,4.88,,,95.99315068,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Netphen,2019,,9.77,3.41,,,94.6803653,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Nettetal,2010,,24.32,25.26,,94.932,88.573,European Environment Agency (downloaded in 2021),2 rural,2022,
European Region,DEU,Germany,Nettetal,2013,,,23.14,,,95.49086758,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Nettetal,2014,,19.68,21.83,,,95.38812785,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Nettetal,2015,,19.09,20.2,,,94.6347032,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Nettetal,2016,,18.73,20.0,,,95.77641166,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Nettetal,2017,,19.03,19.6,,,95.69634703,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Nettetal,2018,,19.47,20.95,,,95.95890411,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Nettetal,2019,,17.36,18.74,,,96.35844749,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Netzschkau,2013,,17.25,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Netzschkau,2014,,16.84,9.63,,,99.13242009,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Netzschkau,2015,,15.14,9.76,,,98.81278539,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Netzschkau,2016,,13.48,10.44,,,99.51047359,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Netzschkau,2017,,11.74,8.55,,,99.71461187,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Netzschkau,2018,,15.76,9.49,,,98.90410959,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Netzschkau,2019,,11.22,6.94,,,99.34931507,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Neu-Ulm,2010,,25.1,31.14,,97.774,99.943,European Environment Agency (downloaded in 2021),2 urban,2022,
European Region,DEU,Germany,Neu-Ulm,2013,,22.48,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Neu-Ulm,2014,,19.45,27.32,,,94.57762557,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Neu-Ulm,2015,13.69,19.56,27.98,,,99.96575342,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Neu-Ulm,2016,12.28,17.29,28.08,,,99.88615665,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Neu-Ulm,2017,12.54,17.91,29.79,,,99.93150685,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Neu-Ulm,2018,13.18,18.22,27.26,,,99.85159817,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Neu-Ulm,2019,10.71,16.06,27.4,,,99.84018265,European Environment Agency (downloaded in 2021),,2022,
